fact_pk,sprint_pk,team_pk,committed_story_points_completed,committed_story_points,story_points_completed,story_points_committed_at_start,avg_velocity_3_sprints,avg_velocity_4_sprints,story_points_added_during_sprint,story_points_removed_during_sprint,story_points_modified_scope,stories_with_modified_estimate,stories_completed,stories_estimated,total_stories
846,34,5,6,17,20,17,15.00,14.50,1,1,0,0,2,2,2
313,1,1,18,20,20,20,19.00,18.50,2,0,0,0,3,3,3
314,1,2,16,18,18,18,17.00,16.50,1,0,0,0,2,2,2
315,1,3,14,16,16,16,15.00,14.50,0,0,0,0,2,2,2
316,1,4,12,15,16,15,14.00,13.50,3,0,1,1,2,2,2
317,1,5,10,14,15,14,13.00,12.50,2,0,0,0,2,2,2
318,1,6,8,12,12,12,11.00,10.50,1,0,0,0,2,2,2
319,1,7,6,10,10,10,9.00,8.50,0,0,0,0,1,1,1
320,1,8,4,8,9,8,7.00,6.50,2,0,0,0,1,1,1
321,1,9,6,9,10,9,8.00,7.50,1,0,0,0,1,1,1
322,1,10,5,7,7,7,6.00,5.50,0,0,0,0,1,1,1
323,1,11,4,6,6,6,5.00,4.50,0,0,0,0,1,1,1
324,1,12,8,12,14,12,11.00,10.50,4,1,2,1,2,2,2
325,1,13,7,11,13,11,10.00,9.50,3,0,1,0,2,2,2
326,1,14,15,17,18,17,16.00,15.50,2,0,0,0,2,2,2
327,1,15,13,15,16,15,14.00,13.50,1,0,0,0,2,2,2
328,1,16,11,13,14,13,12.00,11.50,2,0,0,0,2,2,2
329,1,17,9,12,13,12,11.00,10.50,1,0,0,0,2,2,2
330,1,18,7,10,11,10,9.00,8.50,2,0,0,0,1,1,1
331,1,19,5,8,9,8,7.00,6.50,1,0,0,0,1,1,1
332,1,20,12,14,15,14,13.00,12.50,2,0,0,0,2,2,2
333,1,21,10,13,14,13,12.00,11.50,1,0,0,0,2,2,2
334,1,22,8,11,12,11,10.00,9.50,2,0,0,0,1,1,1
335,1,23,6,9,10,9,8.00,7.50,1,0,0,0,1,1,1
336,1,24,9,12,13,12,11.00,10.50,2,0,1,0,2,2,2
337,1,25,7,10,11,10,9.00,8.50,1,0,0,0,2,2,2
338,1,26,14,16,17,16,15.00,14.50,2,0,0,0,2,2,2
339,1,27,12,15,16,15,14.00,13.50,1,0,0,0,2,2,2
340,1,28,10,13,14,13,12.00,11.50,2,0,0,0,2,2,2
341,1,29,8,11,12,11,10.00,9.50,1,0,0,0,1,1,1
342,1,30,6,9,10,9,8.00,7.50,2,0,0,0,1,1,1
343,1,31,11,14,15,14,13.00,12.50,2,0,0,0,2,2,2
344,1,32,9,12,13,12,11.00,10.50,1,0,0,0,2,2,2
345,1,33,7,10,11,10,9.00,8.50,2,0,0,0,1,1,1
346,1,34,13,15,16,15,14.00,13.50,2,0,0,0,2,2,2
347,1,35,11,14,15,14,13.00,12.50,1,0,0,0,2,2,2
348,1,36,9,12,13,12,11.00,10.50,2,0,0,0,1,1,1
